#Chrom	Start	End	gene	Strand
chr1	29369	29370	WASH7P	-
chr1	30365	30366	MIR1302.10	+
chr1	36080	36081	FAM138A	-
chr1	69090	69091	OR4F5	+
chr1	140565	140566	LOC729737	-
chr1	319943	319944	Unk..100507658	+
chr1	323891	323892	LOC100132287	+
chr1	329789	329790	Unk..100288646	+
chr1	367658	367659	OR4F29	+
chr1	564460	564461	Unk..100131754	+
chr1	622033	622034	OR4F16	-
chr1	659923	659924	Unk..100287654	-
chr1	665730	665731	LOC100133331	-
chr1	714067	714068	LOC100288069	-
chr1	721319	721320	Unk..100287934	+
chr1	752750	752751	FAM87B	+
chr1	762901	762902	LINC00115	-
chr1	763063	763064	LINC01128	+
chr1	766984	766985	Unk..100506327	+
chr1	812181	812182	FAM41C	-
chr1	846814	846815	LOC284600	+
chr1	854816	854817	LOC100130417	-
chr1	861120	861121	SAMD11	+
chr1	894678	894679	NOC2L	-
chr1	895966	895967	KLHL17	+
chr1	901876	901877	PLEKHN1	+
chr1	917472	917473	PERM1	-
chr1	935551	935552	HES4	-
chr1	948846	948847	ISG15	+
chr1	955502	955503	AGRN	+
chr1	1009686	1009687	RNF223	-
chr1	1051735	1051736	C1orf159	-
chr1	1102483	1102484	MIR200B	+
chr1	1103242	1103243	MIR200A	+
chr1	1104384	1104385	MIR429	+
chr1	1114934	1114935	TTLL10.AS1	-
chr1	1109285	1109286	TTLL10	+
chr1	1142088	1142089	TNFRSF18	-
chr1	1149511	1149512	TNFRSF4	-
chr1	1167446	1167447	SDF4	-
chr1	1167628	1167629	B3GALT6	+
chr1	1182101	1182102	C1QTNF12	-
chr1	1209233	1209234	UBE2J2	-
chr1	1217488	1217489	SCNN1D	+
chr1	1243268	1243269	ACAP3	-
chr1	1243993	1243994	PUSL1	+
chr1	1260045	1260046	INTS11	-
chr1	1260142	1260143	CPTP	+
chr1	1266725	1266726	TAS1R3	+
chr1	1284491	1284492	DVL1	-
chr1	1293914	1293915	MXRA8	-
chr1	1303574	1303575	Unk..100506404	+
chr1	1310817	1310818	AURKAIP1	-
chr1	1334717	1334718	CCNL2	-
chr1	1334909	1334910	LOC148413	+
chr1	1342692	1342693	MRPL20	-
chr1	1356649	1356650	ANKRD65	-
chr1	1361507	1361508	TMEM88B	+
chr1	1369899	1369900	Unk..100288271	-
chr1	1370902	1370903	VWA1	+
chr1	1385068	1385069	ATAD3C	+
chr1	1407163	1407164	ATAD3B	+
chr1	1447522	1447523	ATAD3A	+
chr1	1475739	1475740	TMEM240	-
chr1	1510261	1510262	SSU72	-
chr1	1535469	1535470	FNDC10	-
chr1	1550794	1550795	MIB2	+
chr1	1567559	1567560	MMP23B	+
chr1	1590472	1590473	CDK11B	-
chr1	1624242	1624243	SLC35E2B	-
chr1	1631377	1631378	MMP23A	+
chr1	1655790	1655791	CDK11A	-
chr1	1661615	1661616	Unk..100506482	-
chr1	1677430	1677431	SLC35E2	-
chr1	1709908	1709909	NADK	-
chr1	1822494	1822495	GNB1	-
chr1	1846265	1846266	CALML6	+
chr1	1850739	1850740	TMEM52	-
chr1	1935275	1935276	CFAP74	-
chr1	1950767	1950768	GABRD	+
chr1	1981908	1981909	PRKCZ	+
chr1	2115491	2115492	PRKCZ.AS1	-
chr1	2139171	2139172	FAAP20	-
chr1	2125023	2125024	Unk..100128003	-
chr1	2160133	2160134	SKI	+
chr1	2322992	2322993	MORN1	-
chr1	2284099	2284100	LOC100129534	-
chr1	2323213	2323214	RER1	+
chr1	2344009	2344010	PEX10	-
chr1	2407753	2407754	PLCH2	+
chr1	2458034	2458035	PANK4	-
chr1	2461683	2461684	HES5	-
chr1	2484283	2484284	TNFRSF14.AS1	-
chr1	2488447	2488448	Unk..100133445	-
chr1	2487804	2487805	TNFRSF14	+
chr1	2497973	2497974	Unk..100506589	+
chr1	2518248	2518249	FAM213B	+
chr1	2564480	2564481	MMEL1	-
chr1	2706229	2706230	TTC34	-
chr1	2938045	2938046	ACTRT2	+
chr1	2984288	2984289	LINC00982	-
chr1	2985741	2985742	PRDM16	+
chr1	3044538	3044539	MIR4251	+
chr1	3371146	3371147	ARHGEF16	+
chr1	3528058	3528059	MEGF6	-
chr1	3477353	3477354	MIR551A	-
chr1	3541555	3541556	TPRG1L	+
chr1	3566670	3566671	WRAP73	-
chr1	3569128	3569129	TP73	+
chr1	3591969	3591970	Unk..100506635	-
chr1	3663936	3663937	TP73.AS1	-
chr1	3668964	3668965	CCDC27	+
chr1	3689351	3689352	SMIM1	+
chr1	3713067	3713068	LRRC47	-
chr1	3773796	3773797	CEP104	-
chr1	3773844	3773845	DFFB	+
chr1	3816856	3816857	C1orf174	-
chr1	3816967	3816968	LINC01134	+
chr1	4000624	4000625	LINC01346	+
chr1	4472110	4472111	LINC01777	+
chr1	4715104	4715105	AJAP1	+
chr1	6052530	6052531	NPHP4	-
chr1	6086379	6086380	KCNAB2	+
chr1	6240193	6240194	CHD5	-
chr1	6259678	6259679	RPL22	-
chr1	6266188	6266189	RNF207	+
chr1	6296043	6296044	ICMT	-
chr1	6297867	6297868	LINC00337	+
chr1	6304251	6304252	HES3	+
chr1	6321034	6321035	GPR153	-
chr1	6453825	6453826	ACOT7	-
chr1	6326514	6326515	Unk..100130071	+
chr1	6479978	6479979	HES2	-
chr1	6484847	6484848	ESPN	+
chr1	6489955	6489956	MIR4252	-
chr1	6526254	6526255	TNFRSF25	-
chr1	6580068	6580069	PLEKHG5	-
chr1	6614657	6614658	NOL9	-
chr1	6615337	6615338	TAS1R1	+
chr1	6640062	6640063	ZBTB48	+
chr1	6662928	6662929	KLHL21	-
chr1	6673755	6673756	PHF13	+
chr1	6685251	6685252	THAP3	+
chr1	6761965	6761966	DNAJC11	-
chr1	6784804	6784805	LINC01672	+
chr1	6845383	6845384	CAMTA1	+
chr1	6913111	6913112	Unk..100505935	+
chr1	7111763	7111764	Unk..100505910	-
chr1	7831328	7831329	VAMP3	+
chr1	7844762	7844763	PER3	+
chr1	7913550	7913551	UTS2	-
chr1	8000886	8000887	TNFRSF9	-
chr1	8021713	8021714	PARK7	+
chr1	8086392	8086393	ERRFI1	-
chr1	8384389	8384390	SLC45A1	+
chr1	8877698	8877699	RERE	-
chr1	8902430	8902431	Unk..100505990	+
chr1	8938779	8938780	ENO1	-
chr1	8938893	8938894	ENO1.AS1	+
chr1	9005921	9005922	CA6	+
chr1	9086403	9086404	SLC2A7	-
chr1	9148509	9148510	SLC2A5	-
chr1	9123307	9123308	MIR1285.1	+
chr1	9189228	9189229	GPR157	-
chr1	9211835	9211836	MIR34A	-
chr1	9257039	9257040	Unk..727721	-
chr1	9294862	9294863	H6PD	+
chr1	9352940	9352941	SPSB1	+
chr1	9489054	9489055	LOC100506022	-
chr1	9599527	9599528	SLC25A33	+
chr1	9648931	9648932	TMEM201	+
chr1	9711789	9711790	PIK3CD	+
chr1	9714643	9714644	PIK3CD.AS1	-
chr1	9884549	9884550	CLSTN1	-
chr1	9888328	9888329	Unk..645010	-
chr1	9970315	9970316	CTNNBIP1	-
chr1	10002825	10002826	LZIC	-
chr1	10003485	10003486	NMNAT1	+
chr1	10057254	10057255	RBP7	+
chr1	10093015	10093016	UBE4B	+
chr1	10270763	10270764	KIF1B	+
chr1	10458954	10458955	Unk..100287506	-
chr1	10459084	10459085	PGD	+
chr1	10490158	10490159	CENPS	+
chr1	10509970	10509971	CORT	+
chr1	10532612	10532613	DFFA	-
chr1	10535002	10535003	PEX14	+
chr1	10856706	10856707	CASZ1	-
chr1	11042093	11042094	C1orf127	-
chr1	11072678	11072679	TARDBP	+
chr1	11107284	11107285	MASP2	-
chr1	11120090	11120091	SRM	-
chr1	11159937	11159938	EXOSC10	-
chr1	11322607	11322608	MTOR	-
chr1	11249397	11249398	ANGPTL7	+
chr1	11333254	11333255	UBIAD1	+
chr1	11539294	11539295	DISP3	+
chr1	11714738	11714739	FBXO2	-
chr1	11714431	11714432	FBXO44	+
chr1	11724149	11724150	FBXO6	+
chr1	11751677	11751678	MAD2L2	-
chr1	11751780	11751781	DRAXIN	+
chr1	11782035	11782036	Unk..100506086	+
chr1	11796141	11796142	AGTRAP	+
chr1	11821843	11821844	Unk..100506273	+
chr1	11826804	11826805	C1orf167	+
chr1	11838542	11838543	Unk..100506310	+
chr1	11839879	11839880	Unk..100506116	+
chr1	11866159	11866160	MTHFR	-
chr1	11866206	11866207	CLCN6	+
chr1	11907839	11907840	NPPA	-
chr1	11918991	11918992	NPPB	-
chr1	11968210	11968211	RNU5E.1	+
chr1	11986479	11986480	KIAA2013	-
chr1	11994745	11994746	PLOD1	+
chr1	12040237	12040238	MFN2	+
chr1	12079511	12079512	MIIP	+
chr1	12123433	12123434	TNFRSF8	+
chr1	12227059	12227060	TNFRSF1B	+
chr1	12290112	12290113	VPS13D	+
chr1	12567299	12567300	SNORA59A	+
chr1	12677819	12677820	DHRS3	-
chr1	12704565	12704566	AADACL4	+
chr1	12776117	12776118	AADACL3	+
chr1	12806162	12806163	C1orf158	+
chr1	12834983	12834984	PRAMEF12	+
chr1	12851545	12851546	PRAMEF1	+
chr1	12891263	12891264	PRAMEF11	-
chr1	12908577	12908578	HNRNPCL1	-
chr1	12916940	12916941	PRAMEF2	+
chr1	12946024	12946025	PRAMEF4	-
chr1	12958093	12958094	PRAMEF10	-
chr1	12977512	12977513	PRAMEF7	+
chr1	13007405	13007406	PRAMEF6	-
chr1	13035542	13035543	PRAMEF22	+
chr1	13122576	13122577	Unk..729368	-
chr1	13140449	13140450	PRAMEF25	+
chr1	13184325	13184326	HNRNPCL2	-
chr1	13219693	13219694	PRAMEF26	-
chr1	13331691	13331692	Unk..401940	-
chr1	13359818	13359819	PRAMEF5	+
chr1	13390764	13390765	PRAMEF8	-
chr1	13421175	13421176	PRAMEF9	+
chr1	13452655	13452656	PRAMEF13	-
chr1	13477568	13477569	PRAMEF18	-
chr1	13495253	13495254	Unk..654348	+
chr1	13521962	13521963	Unk..391001	+
chr1	13610486	13610487	Unk..729516	-
chr1	13641972	13641973	PRAMEF15	+
chr1	13673510	13673511	PRAMEF14	-
chr1	13698404	13698405	PRAMEF19	-
chr1	13716087	13716088	PRAMEF17	+
chr1	13736906	13736907	PRAMEF20	+
chr1	13840241	13840242	LRRC38	-
chr1	13910251	13910252	PDPN	+
chr1	14026734	14026735	PRDM2	+
chr1	14925212	14925213	KAZN	+
chr1	15478959	15478960	TMEM51.AS1	-
chr1	15479027	15479028	TMEM51	+
chr1	15573767	15573768	FHAD1	+
chr1	15736390	15736391	EFHD2	+
chr1	15764937	15764938	CTRC	+
chr1	15783222	15783223	CELA2A	+
chr1	15802595	15802596	CELA2B	+
chr1	15850789	15850790	CASP9	-
chr1	15853351	15853352	DNAJC16	+
chr1	15898873	15898874	Unk..100507192	-
chr1	15911604	15911605	AGMAT	-
chr1	15930403	15930404	CHCHD2P6	+
chr1	15943952	15943953	DDI2	+
chr1	15986363	15986364	RSC1A1	+
chr1	16010826	16010827	PLEKHM2	+
chr1	16062808	16062809	SLC25A34	+
chr1	16068916	16068917	TMEM82	+
chr1	16085254	16085255	FBLIM1	+
chr1	16134193	16134194	UQCRHL	-
chr1	16174641	16174642	FLJ37453	-
chr1	16174358	16174359	SPEN	+
chr1	16302626	16302627	ZBTB17	-
chr1	16330730	16330731	SRARP	+
chr1	16345284	16345285	HSPB7	-
chr1	16348485	16348486	CLCNKA	+
chr1	16370246	16370247	CLCNKB	+
chr1	16400126	16400127	FAM131C	-
chr1	16482581	16482582	EPHA2	-
chr1	16481729	16481730	Unk..100506484	+
chr1	16539103	16539104	ARHGEF19	-
chr1	16563658	16563659	RSG1	-
chr1	16678947	16678948	FBXO42	-
chr1	16693582	16693583	SZRD1	+
chr1	16763918	16763919	SPATA21	-
chr1	16767166	16767167	NECAP2	+
chr1	16819195	16819196	CROCCP3	-
chr1	16840779	16840780	RNU1.1	-
chr1	16862279	16862280	Unk..100506533	+
chr1	16865560	16865561	FAM231B	+
chr1	16939981	16939982	NBPF1	-
chr1	16957400	16957401	CROCCP2	-
chr1	16972068	16972069	MST1P2	+
chr1	16993442	16993443	RNU1.3	-
chr1	16999497	16999498	FAM231A	+
chr1	17046651	17046652	ESPNP	-
chr1	17060955	17060956	FAM231C	-
chr1	17067010	17067011	RNU1.4	+
chr1	17090974	17090975	MST1L	-
chr1	17216160	17216161	Unk..100506687	-
chr1	17222474	17222475	RNU1.2	+
chr1	17248444	17248445	CROCC	+
chr1	17308080	17308081	MFAP2	-
chr1	17338422	17338423	ATP13A2	-
chr1	17380664	17380665	SDHB	-
chr1	17445947	17445948	PADI2	-
chr1	17520820	17520821	LOC400743	+
chr1	17531620	17531621	PADI1	+
chr1	17575592	17575593	PADI3	+
chr1	17634689	17634690	PADI4	+
chr1	17698740	17698741	PADI6	+
chr1	17766219	17766220	RCC2	-
chr1	17866329	17866330	ARHGEF10L	+
chr1	18149476	18149477	ACTL8	+
chr1	18434239	18434240	IGSF21	+
chr1	18807423	18807424	KLHDC7A	+
chr1	18957499	18957500	PAX7	+
chr1	19186154	19186155	TAS1R2	-
chr1	19229292	19229293	ALDH4A1	-
chr1	19223641	19223642	MIR1290	-
chr1	19282825	19282826	IFFO2	-
chr1	19536745	19536746	UBR4	-
chr1	19578045	19578046	EMC1	-
chr1	19578074	19578075	MRTO4	+
chr1	19600567	19600568	AKR7L	-
chr1	19615279	19615280	AKR7A3	-
chr1	19622229	19622230	LOC100506730	-
chr1	19638639	19638640	AKR7A2	-
chr1	19638739	19638740	PQLC2	+
chr1	19812065	19812066	CAPZB	-
chr1	19680716	19680717	Unk..644075	-
chr1	19725372	19725373	Unk..644083	+
chr1	19923470	19923471	MINOS1	+
chr1	19969725	19969726	NBL1	+
chr1	19991779	19991780	HTR6	+
chr1	20126409	20126410	TMCO4	-
chr1	20141770	20141771	RNF186	-
chr1	20208887	20208888	OTUD3	+
chr1	20250109	20250110	PLA2G2E	-
chr1	20306931	20306932	PLA2G2A	-
chr1	20396700	20396701	PLA2G5	+
chr1	20446007	20446008	PLA2G2D	-
chr1	20465822	20465823	PLA2G2F	+
chr1	20501686	20501687	PLA2G2C	-
chr1	20512577	20512578	UBXN10	+
chr1	20617411	20617412	VWA5B1	+
chr1	20755286	20755287	LINC01141	-
chr1	20812727	20812728	CAMK2N1	-
chr1	20834673	20834674	MUL1	-
chr1	20878931	20878932	FAM43B	+
chr1	20915443	20915444	CDA	+
chr1	20959947	20959948	PINK1	+
chr1	20988036	20988037	DDOST	-
chr1	21044316	21044317	KIF17	-
chr1	21059132	21059133	SH2D5	-
chr1	21113180	21113181	HP1BP3	-
chr1	21503339	21503340	EIF4G3	-
chr1	21314924	21314925	MIR1256	-
chr1	21672033	21672034	ECE1	-
chr1	21592574	21592575	Unk..100506824	+
chr1	21619782	21619783	LOC100506801	+
chr1	21766630	21766631	NBPF3	+
chr1	21835857	21835858	ALPL	+
chr1	21995855	21995856	RAP1GAP	-
chr1	22109687	22109688	USP48	-
chr1	22138757	22138758	LDLRAD2	+
chr1	22222803	22222804	HSPG2	-
chr1	22303417	22303418	CELA3B	+
chr1	22328148	22328149	CELA3A	+
chr1	22351706	22351707	LINC00339	+
chr1	22379119	22379120	CDC42	+
chr1	22469518	22469519	WNT4	-
chr1	22778343	22778344	ZBTB40	+
chr1	22890003	22890004	EPHA8	+
chr1	22963117	22963118	C1QA	+
chr1	22970117	22970118	C1QC	+
chr1	22979681	22979682	C1QB	+
chr1	23037330	23037331	EPHB2	+
chr1	23189718	23189719	MIR4253	-
chr1	23289670	23289671	LACTBL1	-
chr1	23340516	23340517	TEX46	-
chr1	23345940	23345941	KDM1A	+
chr1	23370797	23370798	MIR3115	+
chr1	23495350	23495351	LUZP1	-
chr1	23521221	23521222	HTR1D	-
chr1	23670852	23670853	HNRNPR	-
chr1	23696356	23696357	ZNF436	-
chr1	23695463	23695464	ZNF436.AS1	+
chr1	23751260	23751261	TCEA3	-
chr1	23810749	23810750	ASAP3	-
chr1	23857712	23857713	E2F2	-
chr1	23886321	23886322	ID3	-
chr1	23953823	23953824	MDS2	+
chr1	23997267	23997268	LOC729856	+
chr1	24018293	24018294	RPL11	+
chr1	24069855	24069856	ELOA	+
chr1	24104779	24104780	ELOA.AS1	-
chr1	24104875	24104876	PITHD1	+
chr1	24117645	24117646	LYPLA2	+
chr1	24127293	24127294	GALE	-
chr1	24151948	24151949	HMGCL	-
chr1	24194858	24194859	FUCA1	-
chr1	24239816	24239817	CNR2	-
chr1	24286300	24286301	PNRC2	+
chr1	24306952	24306953	SRSF10	-
chr1	24438664	24438665	MYOM3	-
chr1	24469610	24469611	IL22RA1	-
chr1	24513750	24513751	IFNLR1	-
chr1	24526729	24526730	LOC284632	+
chr1	24645811	24645812	GRHL3	+
chr1	24727948	24727949	STPG1	-
chr1	24742244	24742245	NIPAL3	+
chr1	24829386	24829387	RCAN3	+
chr1	24882514	24882515	LOC100506985	-
chr1	24921909	24921910	NCMAP	+
chr1	24969593	24969594	SRRM1	+
chr1	25071759	25071760	CLIC4	+
chr1	25291500	25291501	RUNX3	-
chr1	25559012	25559013	SYF2	-
chr1	25573984	25573985	RSRP1	-
chr1	25598980	25598981	RHD	+
chr1	25664810	25664811	TMEM50A	+
chr1	25747362	25747363	RHCE	-
chr1	25757387	25757388	MACO1	+
chr1	25870075	25870076	LDLRAP1	+
chr1	25943958	25943959	MAN1C1	+
chr1	25985601	25985602	Unk..100507013	-
chr1	26126666	26126667	SELENON	+
chr1	26146396	26146397	MTFR1L	+
chr1	26150096	26150097	LOC646471	-
chr1	26185847	26185848	AUNIP	-
chr1	26197743	26197744	PAQR7	-
chr1	26233367	26233368	STMN1	-
chr1	26324647	26324648	PAFAH2	-
chr1	26348270	26348271	EXTL1	+
chr1	26372603	26372604	SLC30A2	-
chr1	26394120	26394121	TRIM63	-
chr1	26437655	26437656	PDIK1L	+
chr1	26485510	26485511	FAM110D	+
chr1	26498311	26498312	Unk..100128346	-
chr1	26496387	26496388	ZNF593	+
chr1	26503980	26503981	CNKSR1	+
chr1	26517118	26517119	CATSPER4	+
chr1	26560692	26560693	CEP85	+
chr1	26606212	26606213	SH3BGRL3	+
chr1	26644755	26644756	UBXN11	-
chr1	26644410	26644411	CD52	+
chr1	26680620	26680621	CRYBG2	-
chr1	26699265	26699266	ZNF683	-
chr1	26737268	26737269	LIN28A	+
chr1	26758801	26758802	DHDDS	+
chr1	26798901	26798902	HMGN2	+
chr1	26856248	26856249	RPS6KA1	+
chr1	26881032	26881033	MIR1976	+
chr1	27022521	27022522	ARID1A	+
chr1	27114485	27114486	PIGV	+
chr1	27153200	27153201	ZDHHC18	+
chr1	27189632	27189633	SFN	+
chr1	27216868	27216869	GPN2	-
chr1	27226961	27226962	GPATCH3	-
chr1	27240566	27240567	NR0B2	-
chr1	27248223	27248224	NUDC	+
chr1	27286900	27286901	KDF1	-
chr1	27312842	27312843	OSTCP2	-
chr1	27320194	27320195	TRNP1	+
chr1	27339332	27339333	FAM46B	-
chr1	27481450	27481451	SLC9A1	-
chr1	27561006	27561007	WDTC1	+
chr1	27648635	27648636	TMEM222	+
chr1	27650364	27650365	ACTG1P20	+
chr1	27668482	27668483	SYTL1	+
chr1	27693336	27693337	MAP3K6	-
chr1	27701314	27701315	FCN3	-
chr1	27709804	27709805	CD164L2	-
chr1	27719151	27719152	GPR3	+
chr1	27816668	27816669	WASF2	-
chr1	27930142	27930143	AHDC1	-
chr1	27961726	27961727	FGR	-
chr1	27998723	27998724	IFI6	-
chr1	28052489	28052490	FAM76A	+
chr1	28099693	28099694	STX12	+
chr1	28157292	28157293	PPP1R8	+
chr1	28160911	28160912	SCARNA1	+
chr1	28199054	28199055	THEMIS2	+
chr1	28241235	28241236	RPA2	-
chr1	28261503	28261504	SMPDL3B	+
chr1	28286503	28286504	XKR8	+
chr1	28415130	28415131	EYA3	-
chr1	28423068	28423069	SPCS2P4	-
chr1	28520446	28520447	PTAFR	-
chr1	28559541	28559542	DNAJC8	-
chr1	28562610	28562611	ATPIF1	+
chr1	28586005	28586006	SESN2	+
chr1	28655512	28655513	MED18	+
chr1	28696092	28696093	PHACTR4	+
chr1	28832454	28832455	SNHG3	+
chr1	28832454	28832455	RCC1	+
chr1	28833876	28833877	SNORA73A	+
chr1	28835069	28835070	SNORA73B	+
chr1	28879528	28879529	TRNAU1AP	+
chr1	28908365	28908366	SNHG12	-
chr1	28905333	28905334	SNORD99	-
chr1	28906404	28906405	SNORA61	-
chr1	28907023	28907024	SNORA44	-
chr1	28907564	28907565	SNORA16A	-
chr1	28918711	28918712	RAB42	+
chr1	28969603	28969604	TAF12	-
chr1	28975111	28975112	RNU11	+
chr1	28995243	28995244	GMEB1	+
chr1	29063132	29063133	YTHDF2	+
chr1	29138653	29138654	OPRD1	+
chr1	29213602	29213603	EPB41	+
chr1	29450420	29450421	TMEM200B	-
chr1	29508636	29508637	SRSF4	-
chr1	29557453	29557454	MECR	-
chr1	29563027	29563028	PTPRU	+
chr1	29823397	29823398	Unk..100288450	-
chr1	31196431	31196432	MATN1	-
chr1	31191618	31191619	MATN1.AS1	+
chr1	31230682	31230683	LAPTM5	-
chr1	31381479	31381480	SDC3	-
chr1	31538563	31538564	PUM1	-
chr1	31408622	31408623	SNORD103A	-
chr1	31422051	31422052	SNORD103B	-
chr1	31441083	31441084	SNORD103C	-
chr1	31460911	31460912	Unk..28997	+
chr1	31712733	31712734	NKAIN1	-
chr1	31769643	31769644	SNRNP40	-
chr1	31769841	31769842	ZCCHC17	+
chr1	31845922	31845923	FABP3	-
chr1	31885962	31885963	SERINC2	+
chr1	31971266	31971267	LINC01225	+
chr1	31984035	31984036	LINC01226	+
chr1	32042085	32042086	TINAGL1	+
chr1	32083300	32083301	HCRTR1	+
chr1	32110837	32110838	PEF1	-
chr1	32169767	32169768	COL16A1	-
chr1	32229647	32229648	ADGRB2	-
chr1	32224335	32224336	MIR4254	-
chr1	32281579	32281580	SPOCD1	-
chr1	32403987	32403988	PTP4A2	-
chr1	32379177	32379178	Unk..100507229	+
chr1	32479490	32479491	KHDRBS1	+
chr1	32538502	32538503	TMEM39B	+
chr1	32573643	32573644	KPNA6	+
chr1	32645344	32645345	TXLNA	+
chr1	32666201	32666202	CCDC28B	+
chr1	32671235	32671236	IQCC	+
chr1	32674694	32674695	DCDC2B	+
chr1	32681057	32681058	Unk..100507457	-
chr1	32687925	32687926	TMEM234	-
chr1	32687970	32687971	EIF3I	+
chr1	32707310	32707311	MTMR9LP	-
chr1	32712817	32712818	FAM167B	+
chr1	32716839	32716840	LCK	+
chr1	32757707	32757708	HDAC1	+
chr1	32801833	32801834	MARCKSL1	-
chr1	32827843	32827844	FAM229A	-
chr1	32827861	32827862	TSSK3	+
chr1	32860061	32860062	BSDC1	-
chr1	32930657	32930658	ZBTB8B	+
chr1	33004771	33004772	ZBTB8A	+
chr1	33116184	33116185	ZBTB8OS	-
chr1	33116748	33116749	RBBP4	+
chr1	33168360	33168361	SYNC	-
chr1	33207511	33207512	KIAA1522	+
chr1	33283632	33283633	YARS	-
chr1	33283175	33283176	S100PBP	+
chr1	33338081	33338082	FNDC5	-
chr1	33352097	33352098	HPCA	+
chr1	33366952	33366953	TMEM54	-
chr1	33430285	33430286	RNF19B	-
chr1	33417079	33417080	Unk..100505584	-
chr1	33502491	33502492	AK2	-
chr1	33546713	33546714	AZIN2	+
chr1	33647670	33647671	TRIM62	-
chr1	33722173	33722174	ZNF362	+
chr1	33841193	33841194	PHC2	-
chr1	33938231	33938232	ZSCAN20	+
chr1	34631442	34631443	CSMD2	-
chr1	34326075	34326076	HMGB4	+
chr1	34632623	34632624	C1orf94	+
chr1	35135294	35135295	MIR552	-
chr1	35220720	35220721	GJB5	+
chr1	35225341	35225342	GJB4	+
chr1	35246789	35246790	GJB3	+
chr1	35258598	35258599	GJA4	+
chr1	35325416	35325417	SMIM12	-
chr1	35370983	35370984	DLGAP3	-
chr1	35450947	35450948	TMEM35B	-
chr1	35497568	35497569	ZMYM6	-
chr1	35544971	35544972	ZMYM1	+
chr1	35648081	35648082	Unk..100506168	-
chr1	35658742	35658743	SFPQ	-
